Epoch,Weight1,Weight2,Bias
0,0.496138,-0.300163,0.071999
1,0.492548,-0.299891,0.044634
2,0.489224,-0.299204,0.017895
3,0.486161,-0.298119,-0.008228
4,0.483354,-0.296657,-0.033744
5,0.480797,-0.294834,-0.058667
6,0.478483,-0.292668,-0.083009
7,0.476406,-0.290178,-0.106784
8,0.474560,-0.287379,-0.130004
9,0.472939,-0.284288,-0.152684
10,0.471535,-0.280921,-0.174838
11,0.470342,-0.277292,-0.196480
12,0.469354,-0.273415,-0.217624
13,0.468564,-0.269305,-0.238285
14,0.467966,-0.264973,-0.258476
15,0.467554,-0.260433,-0.278211
16,0.467322,-0.255696,-0.297504
17,0.467263,-0.250773,-0.316369
18,0.467373,-0.245674,-0.334818
19,0.467645,-0.240410,-0.352864
20,0.468073,-0.234990,-0.370519
21,0.468654,-0.229423,-0.387797
22,0.469380,-0.223717,-0.404709
23,0.470248,-0.217880,-0.421266
24,0.471252,-0.211920,-0.437480
25,0.472388,-0.205844,-0.453361
26,0.473651,-0.199658,-0.468921
27,0.475036,-0.193370,-0.484169
28,0.476540,-0.186985,-0.499116
29,0.478158,-0.180508,-0.513772
30,0.479886,-0.173946,-0.528145
31,0.481720,-0.167303,-0.542244
32,0.483656,-0.160584,-0.556079
33,0.485690,-0.153794,-0.569658
34,0.487820,-0.146938,-0.582989
35,0.490042,-0.140019,-0.596081
36,0.492351,-0.133041,-0.608940
37,0.494746,-0.126009,-0.621575
38,0.497223,-0.118925,-0.633992
39,0.499778,-0.111794,-0.646199
40,0.502409,-0.104618,-0.658202
41,0.505114,-0.097400,-0.670008
42,0.507888,-0.090144,-0.681623
43,0.510731,-0.082853,-0.693053
44,0.513638,-0.075528,-0.704305
45,0.516608,-0.068173,-0.715383
46,0.519638,-0.060791,-0.726293
47,0.522725,-0.053382,-0.737042
48,0.525868,-0.045951,-0.747633
49,0.529064,-0.038498,-0.758072
50,0.532311,-0.031027,-0.768364
51,0.535607,-0.023538,-0.778513
52,0.538950,-0.016034,-0.788525
53,0.542338,-0.008517,-0.798402
54,0.545769,-0.000989,-0.808150
55,0.549241,0.006549,-0.817773
56,0.552752,0.014095,-0.827275
57,0.556301,0.021648,-0.836659
58,0.559885,0.029206,-0.845929
59,0.563504,0.036767,-0.855089
60,0.567155,0.044331,-0.864142
61,0.570837,0.051896,-0.873092
62,0.574549,0.059460,-0.881942
63,0.578289,0.067022,-0.890695
64,0.582055,0.074581,-0.899354
65,0.585847,0.082137,-0.907922
66,0.589663,0.089687,-0.916402
67,0.593501,0.097230,-0.924797
68,0.597360,0.104767,-0.933109
69,0.601240,0.112295,-0.941341
70,0.605138,0.119814,-0.949495
71,0.609054,0.127323,-0.957574
72,0.612987,0.134820,-0.965580
73,0.616936,0.142306,-0.973516
74,0.620898,0.149779,-0.981383
75,0.624875,0.157238,-0.989185
76,0.628864,0.164683,-0.996921
77,0.632864,0.172113,-1.004596
78,0.636875,0.179528,-1.012210
79,0.640896,0.186925,-1.019766
80,0.644925,0.194306,-1.027264
81,0.648963,0.201669,-1.034708
82,0.653008,0.209014,-1.042098
83,0.657059,0.216340,-1.049437
84,0.661117,0.223646,-1.056725
85,0.665179,0.230933,-1.063964
86,0.669245,0.238199,-1.071157
87,0.673315,0.245444,-1.078303
88,0.677388,0.252668,-1.085404
89,0.681463,0.259870,-1.092462
90,0.685540,0.267050,-1.099478
91,0.689618,0.274207,-1.106453
92,0.693697,0.281341,-1.113389
93,0.697776,0.288452,-1.120285
94,0.701854,0.295539,-1.127144
95,0.705931,0.302603,-1.133967
96,0.710007,0.309642,-1.140754
97,0.714081,0.316657,-1.147506
98,0.718153,0.323647,-1.154225
99,0.722222,0.330612,-1.160911
100,0.726288,0.337551,-1.167565
101,0.730350,0.344465,-1.174188
102,0.734408,0.351354,-1.180780
103,0.738462,0.358217,-1.187343
104,0.742512,0.365053,-1.193877
105,0.746556,0.371864,-1.200383
106,0.750595,0.378648,-1.206862
107,0.754629,0.385406,-1.213313
108,0.758657,0.392137,-1.219739
109,0.762679,0.398841,-1.226138
110,0.766695,0.405519,-1.232513
111,0.770704,0.412170,-1.238864
112,0.774706,0.418794,-1.245190
113,0.778701,0.425392,-1.251493
114,0.782690,0.431962,-1.257773
115,0.786670,0.438505,-1.264031
116,0.790644,0.445021,-1.270266
117,0.794609,0.451510,-1.276480
118,0.798567,0.457971,-1.282673
119,0.802516,0.464406,-1.288845
120,0.806458,0.470814,-1.294996
121,0.810391,0.477194,-1.301128
122,0.814315,0.483548,-1.307240
