Epoch,Slope,Intercept
0,1.652898,0.239868
1,1.642423,0.148834
2,1.635087,0.059808
3,1.630760,-0.027598
4,1.629338,-0.113749
5,1.630738,-0.198985
6,1.634897,-0.283630
7,1.641772,-0.367994
8,1.651338,-0.452378
9,1.663587,-0.537074
10,1.678531,-0.622373
11,1.696198,-0.708567
12,1.716634,-0.795947
13,1.739903,-0.884815
14,1.766089,-0.975479
15,1.795295,-1.068264
16,1.827648,-1.163509
17,1.863294,-1.261576
18,1.902410,-1.362853
19,1.945196,-1.467757
20,1.991887,-1.576746
21,2.042752,-1.690317
22,2.098101,-1.809024
23,2.158290,-1.933478
24,2.223729,-2.064364
25,2.294887,-2.202454
26,2.372308,-2.348618
27,2.456621,-2.503852
28,2.548554,-2.669293
29,2.648957,-2.846255
30,2.758824,-3.036261
31,2.879327,-3.241094
32,3.011852,-3.462851
33,3.158050,-3.704024
34,3.319907,-3.967590
35,3.499825,-4.257146
36,3.700740,-4.577077
37,3.926279,-4.932787
38,4.180968,-5.331016
39,4.470535,-5.780278
40,4.802333,-6.291495
41,5.185955,-6.878910
42,5.634165,-7.561457
43,6.164312,-8.364872
44,6.800602,-9.325042
45,7.577846,-10.493572
46,8.547982,-11.947448
47,9.792088,-13.806831
48,11.444138,-16.270267
49,13.742547,-19.691070
50,17.156574,-24.764629
51,22.754936,-33.074636
52,33.612121,-49.177044
53,63.673424,-93.736728
54,551.771199,-817.038328
55,-83.866133,124.869610
56,-39.215375,58.691591
57,-25.697421,38.648118
58,-19.170224,28.964239
59,-15.326168,23.256694
60,-12.793625,19.492924
61,-10.999738,16.824029
62,-9.662857,14.832637
63,-8.628366,13.289619
64,-7.804316,12.058717
65,-7.132602,11.053816
66,-6.574701,10.217823
67,-6.104064,9.511391
68,-5.701801,8.906518
69,-5.354103,8.382737
70,-5.050644,7.924737
71,-4.783546,7.520838
72,-4.546694,7.161975
73,-4.335271,6.841000
74,-4.145429,6.552209
75,-3.974060,6.290987
76,-3.818621,6.053563
77,-3.677018,5.836826
78,-3.547505,5.638186
79,-3.428618,5.455468
80,-3.319121,5.286835
81,-3.217960,5.130722
82,-3.124234,4.985787
83,-3.037166,4.850876
84,-2.956084,4.724988
85,-2.880402,4.607252
86,-2.809609,4.496904
87,-2.743255,4.393277
88,-2.680944,4.295778
89,-2.622327,4.203885
90,-2.567090,4.117132
91,-2.514957,4.035105
92,-2.465680,3.957433
93,-2.419035,3.883783
94,-2.374823,3.813854
95,-2.332864,3.747376
96,-2.292993,3.684104
97,-2.255064,3.623817
98,-2.218941,3.566312
99,-2.184503,3.511404
100,-2.151637,3.458926
101,-2.120242,3.408725
102,-2.090223,3.360658
103,-2.061496,3.314595
104,-2.033982,3.270419
105,-2.007607,3.228018
106,-1.982304,3.187292
107,-1.958012,3.148145
108,-1.934674,3.110492
109,-1.912236,3.074250
110,-1.890649,3.039345
111,-1.869867,3.005708
112,-1.849848,2.973273
113,-1.830552,2.941979
114,-1.811942,2.911770
115,-1.793984,2.882593
116,-1.776644,2.854397
117,-1.759894,2.827138
118,-1.743704,2.800770
119,-1.728048,2.775253
120,-1.712902,2.750549
121,-1.698241,2.726621
122,-1.684044,2.703435
123,-1.670290,2.680959
124,-1.656960,2.659163
125,-1.644034,2.638017
126,-1.631497,2.617495
127,-1.619330,2.597572
128,-1.607520,2.578222
129,-1.596051,2.559423
130,-1.584909,2.541154
