Epoch,Slope,Intercept
0,1.641804,0.395993
1,1.615925,0.456998
2,1.589111,0.516313
3,1.561440,0.573912
4,1.532992,0.629774
5,1.503841,0.683885
6,1.474064,0.736236
7,1.443732,0.786823
8,1.412914,0.835651
9,1.381679,0.882726
10,1.350092,0.928060
11,1.318214,0.971669
12,1.286104,1.013574
13,1.253820,1.053798
14,1.221413,1.092368
15,1.188936,1.129314
16,1.156435,1.164667
17,1.123954,1.198462
18,1.091537,1.230735
19,1.059221,1.261525
20,1.027042,1.290869
21,0.995035,1.318809
22,0.963230,1.345385
23,0.931656,1.370639
24,0.900338,1.394612
25,0.869301,1.417347
26,0.838565,1.438887
27,0.808150,1.459272
28,0.778074,1.478546
29,0.748352,1.496749
30,0.718997,1.513922
31,0.690022,1.530106
32,0.661438,1.545340
33,0.633252,1.559664
34,0.605473,1.573116
35,0.578106,1.585732
36,0.551158,1.597549
37,0.524631,1.608603
38,0.498529,1.618927
39,0.472853,1.628556
40,0.447606,1.637521
41,0.422786,1.645855
42,0.398393,1.653587
43,0.374427,1.660746
44,0.350885,1.667362
45,0.327765,1.673461
46,0.305064,1.679069
47,0.282778,1.684212
48,0.260905,1.688915
49,0.239439,1.693200
50,0.218376,1.697090
51,0.197712,1.700606
52,0.177441,1.703769
53,0.157559,1.706600
54,0.138059,1.709116
55,0.118936,1.711335
56,0.100184,1.713276
57,0.081798,1.714954
58,0.063771,1.716386
59,0.046098,1.717586
60,0.028772,1.718568
61,0.011787,1.719347
62,-0.004863,1.719935
63,-0.021184,1.720345
64,-0.037183,1.720588
65,-0.052865,1.720675
66,-0.068237,1.720618
67,-0.083305,1.720427
68,-0.098075,1.720110
69,-0.112552,1.719677
70,-0.126744,1.719137
71,-0.140655,1.718498
72,-0.154292,1.717767
73,-0.167660,1.716952
74,-0.180765,1.716060
75,-0.193613,1.715098
76,-0.206208,1.714070
77,-0.218558,1.712984
78,-0.230666,1.711845
79,-0.242538,1.710659
80,-0.254180,1.709428
81,-0.265596,1.708160
82,-0.276791,1.706857
83,-0.287770,1.705525
84,-0.298539,1.704166
85,-0.309101,1.702784
86,-0.319461,1.701383
87,-0.329623,1.699966
88,-0.339593,1.698536
89,-0.349374,1.697095
90,-0.358971,1.695646
91,-0.368387,1.694192
92,-0.377627,1.692735
93,-0.386695,1.691276
94,-0.395595,1.689818
95,-0.404329,1.688363
96,-0.412903,1.686911
97,-0.421319,1.685466
98,-0.429581,1.684028
99,-0.437692,1.682598
100,-0.445657,1.681177
101,-0.453477,1.679768
102,-0.461157,1.678370
103,-0.468699,1.676984
104,-0.476106,1.675612
105,-0.483382,1.674254
106,-0.490529,1.672912
107,-0.497550,1.671584
108,-0.504448,1.670273
109,-0.511226,1.668977
110,-0.517885,1.667699
111,-0.524430,1.666438
112,-0.530861,1.665195
113,-0.537182,1.663969
114,-0.543395,1.662762
115,-0.549503,1.661572
