Epoch,Slope,Intercept
0,1.449825,0.221362
1,1.268070,0.128619
2,1.113719,0.050924
3,0.981153,-0.014781
4,0.866165,-0.070789
5,0.765543,-0.118848
6,0.676796,-0.160318
7,0.597963,-0.196271
8,0.527479,-0.227564
9,0.464084,-0.254888
10,0.406752,-0.278807
11,0.354640,-0.299786
12,0.307050,-0.318212
13,0.263400,-0.334409
14,0.223202,-0.348647
15,0.186044,-0.361159
16,0.151574,-0.372142
17,0.119493,-0.381764
18,0.089544,-0.390172
19,0.061505,-0.397493
20,0.035183,-0.403836
21,0.010412,-0.409298
22,-0.012956,-0.413963
23,-0.035048,-0.417906
24,-0.055979,-0.421193
25,-0.075848,-0.423884
26,-0.094743,-0.426029
27,-0.112745,-0.427676
28,-0.129923,-0.428866
29,-0.146340,-0.429638
30,-0.162054,-0.430025
31,-0.177115,-0.430057
32,-0.191570,-0.429764
33,-0.205460,-0.429169
34,-0.218823,-0.428296
35,-0.231694,-0.427166
36,-0.244103,-0.425798
37,-0.256081,-0.424209
38,-0.267652,-0.422416
39,-0.278841,-0.420434
40,-0.289671,-0.418275
41,-0.300160,-0.415953
42,-0.310329,-0.413480
43,-0.320195,-0.410865
44,-0.329773,-0.408119
45,-0.339078,-0.405252
46,-0.348125,-0.402271
47,-0.356926,-0.399185
48,-0.365493,-0.396002
49,-0.373837,-0.392727
50,-0.381968,-0.389368
51,-0.389897,-0.385931
52,-0.397632,-0.382422
53,-0.405181,-0.378845
54,-0.412553,-0.375206
55,-0.419756,-0.371509
56,-0.426796,-0.367759
57,-0.433679,-0.363960
58,-0.440412,-0.360116
59,-0.447002,-0.356230
60,-0.453453,-0.352306
61,-0.459770,-0.348347
62,-0.465959,-0.344357
63,-0.472024,-0.340338
64,-0.477970,-0.336293
65,-0.483801,-0.332224
66,-0.489521,-0.328134
67,-0.495134,-0.324026
68,-0.500642,-0.319901
69,-0.506051,-0.315762
70,-0.511362,-0.311610
71,-0.516579,-0.307448
72,-0.521705,-0.303277
73,-0.526743,-0.299099
74,-0.531695,-0.294915
75,-0.536564,-0.290728
76,-0.541352,-0.286538
77,-0.546062,-0.282347
78,-0.550697,-0.278156
79,-0.555257,-0.273966
80,-0.559745,-0.269779
81,-0.564163,-0.265596
82,-0.568514,-0.261418
83,-0.572798,-0.257246
84,-0.577017,-0.253080
85,-0.581174,-0.248922
86,-0.585269,-0.244773
87,-0.589304,-0.240634
88,-0.593281,-0.236504
89,-0.597202,-0.232386
90,-0.601066,-0.228279
91,-0.604877,-0.224184
92,-0.608634,-0.220103
93,-0.612340,-0.216035
94,-0.615995,-0.211982
95,-0.619601,-0.207943
96,-0.623158,-0.203920
97,-0.626668,-0.199912
98,-0.630132,-0.195921
99,-0.633551,-0.191947
100,-0.636925,-0.187989
101,-0.640255,-0.184050
102,-0.643543,-0.180128
103,-0.646790,-0.176225
104,-0.649995,-0.172340
105,-0.653161,-0.168474
106,-0.656287,-0.164628
107,-0.659375,-0.160801
108,-0.662424,-0.156994
109,-0.665437,-0.153207
110,-0.668413,-0.149441
111,-0.671354,-0.145695
112,-0.674260,-0.141969
113,-0.677131,-0.138265
114,-0.679968,-0.134582
115,-0.682772,-0.130920
116,-0.685543,-0.127280
117,-0.688282,-0.123661
118,-0.690990,-0.120064
119,-0.693667,-0.116488
120,-0.696313,-0.112935
121,-0.698929,-0.109404
122,-0.701516,-0.105895
123,-0.704073,-0.102408
124,-0.706602,-0.098943
125,-0.709103,-0.095501
126,-0.711576,-0.092081
127,-0.714022,-0.088683
128,-0.716442,-0.085308
129,-0.718834,-0.081955
130,-0.721201,-0.078625
131,-0.723543,-0.075317
132,-0.725859,-0.072032
133,-0.728150,-0.068770
134,-0.730416,-0.065529
135,-0.732659,-0.062312
136,-0.734878,-0.059117
137,-0.737073,-0.055944
138,-0.739245,-0.052794
139,-0.741395,-0.049666
140,-0.743522,-0.046560
141,-0.745627,-0.043477
142,-0.747710,-0.040416
143,-0.749771,-0.037377
144,-0.751812,-0.034360
145,-0.753831,-0.031366
146,-0.755830,-0.028393
147,-0.757808,-0.025442
148,-0.759766,-0.022513
149,-0.761705,-0.019606
150,-0.763623,-0.016721
151,-0.765523,-0.013857
152,-0.767403,-0.011015
153,-0.769265,-0.008194
154,-0.771107,-0.005394
155,-0.772932,-0.002616
156,-0.774738,0.000141
157,-0.776527,0.002877
158,-0.778298,0.005592
159,-0.780051,0.008286
160,-0.781787,0.010960
161,-0.783506,0.013613
162,-0.785208,0.016245
163,-0.786894,0.018857
164,-0.788563,0.021449
165,-0.790216,0.024020
166,-0.791853,0.026572
167,-0.793475,0.029103
168,-0.795080,0.031615
169,-0.796670,0.034107
170,-0.798245,0.036579
171,-0.799805,0.039032
172,-0.801350,0.041466
173,-0.802880,0.043880
174,-0.804395,0.046275
175,-0.805896,0.048652
176,-0.807383,0.051009
177,-0.808856,0.053348
178,-0.810315,0.055668
179,-0.811760,0.057970
180,-0.813192,0.060253
181,-0.814610,0.062518
182,-0.816015,0.064765
183,-0.817407,0.066995
184,-0.818785,0.069206
185,-0.820151,0.071400
186,-0.821505,0.073576
187,-0.822845,0.075735
188,-0.824173,0.077876
