Epoch,Slope,Intercept
0,1.876749,0.430390
1,2.118055,0.540228
2,2.398158,0.665929
3,2.727329,0.811681
4,3.119853,0.983313
5,3.596192,1.189184
6,4.186717,1.441704
7,4.938521,1.760127
8,5.928751,2.175997
9,7.293123,2.744814
10,9.294503,3.574084
11,12.517329,4.902833
12,18.575943,7.391309
13,34.169641,13.779475
14,165.282936,67.414220
15,-62.758279,-25.842711
16,-27.178302,-11.280592
17,-17.660338,-7.377746
18,-13.243580,-5.561358
19,-10.692692,-4.508198
20,-9.030824,-3.818743
21,-7.861713,-3.330924
22,-6.994144,-2.966537
23,-6.324515,-2.683208
24,-5.791814,-2.455983
25,-5.357773,-2.269212
26,-4.997173,-2.112579
27,-4.692720,-1.979011
28,-4.432156,-1.863493
29,-4.206553,-1.762373
30,-4.009254,-1.672928
31,-3.835191,-1.593085
32,-3.680441,-1.521238
33,-3.541918,-1.456123
34,-3.417161,-1.396734
35,-3.304185,-1.342258
36,-3.201369,-1.292031
37,-3.107378,-1.245505
38,-3.021101,-1.202225
39,-2.941607,-1.161811
40,-2.868110,-1.123939
41,-2.799940,-1.088334
42,-2.736527,-1.054762
43,-2.677375,-1.023019
44,-2.622060,-0.992931
45,-2.570210,-0.964345
46,-2.521500,-0.937127
47,-2.475645,-0.911160
48,-2.432394,-0.886339
49,-2.391525,-0.862574
50,-2.352841,-0.839781
51,-2.316165,-0.817890
52,-2.281340,-0.796833
53,-2.248224,-0.776552
54,-2.216691,-0.756996
55,-2.186626,-0.738115
56,-2.157925,-0.719866
57,-2.130494,-0.702211
58,-2.104247,-0.685113
59,-2.079108,-0.668540
60,-2.055004,-0.652462
61,-2.031871,-0.636851
62,-2.009649,-0.621682
63,-1.988284,-0.606933
64,-1.967724,-0.592581
65,-1.947924,-0.578607
66,-1.928840,-0.564993
67,-1.910434,-0.551721
68,-1.892667,-0.538776
69,-1.875507,-0.526143
70,-1.858921,-0.513809
71,-1.842881,-0.501761
72,-1.827358,-0.489986
73,-1.812327,-0.478475
74,-1.797765,-0.467215
75,-1.783649,-0.456198
76,-1.769957,-0.445414
77,-1.756672,-0.434855
78,-1.743773,-0.424512
79,-1.731245,-0.414378
80,-1.719070,-0.404446
81,-1.707234,-0.394708
82,-1.695721,-0.385158
83,-1.684520,-0.375790
84,-1.673616,-0.366598
85,-1.662999,-0.357576
86,-1.652655,-0.348720
87,-1.642576,-0.340024
88,-1.632749,-0.331484
89,-1.623167,-0.323095
90,-1.613819,-0.314852
91,-1.604697,-0.306752
92,-1.595793,-0.298790
93,-1.587098,-0.290964
94,-1.578606,-0.283268
95,-1.570309,-0.275701
96,-1.562201,-0.268257
97,-1.554274,-0.260935
98,-1.546524,-0.253732
99,-1.538943,-0.246643
100,-1.531527,-0.239668
101,-1.524270,-0.232802
102,-1.517167,-0.226043
103,-1.510214,-0.219389
104,-1.503404,-0.212837
105,-1.496735,-0.206386
106,-1.490201,-0.200032
107,-1.483799,-0.193773
