Epoch,Slope,Intercept
0,1.643824,0.314574
1,1.621868,0.296570
2,1.600762,0.279289
3,1.580471,0.262699
4,1.560964,0.246770
5,1.542209,0.231474
6,1.524175,0.216783
7,1.506832,0.202671
8,1.490154,0.189114
9,1.474113,0.176088
10,1.458684,0.163570
11,1.443842,0.151539
12,1.429564,0.139974
13,1.415826,0.128855
14,1.402608,0.118165
15,1.389889,0.107884
16,1.377648,0.097996
17,1.365867,0.088485
18,1.354528,0.079335
19,1.343613,0.070532
20,1.333105,0.062061
21,1.322988,0.053908
22,1.313248,0.046062
23,1.303868,0.038509
24,1.294836,0.031238
25,1.286138,0.024238
26,1.277760,0.017497
27,1.269691,0.011006
28,1.261918,0.004755
29,1.254430,-0.001265
30,1.247217,-0.007064
31,1.240266,-0.012651
32,1.233570,-0.018032
33,1.227117,-0.023217
34,1.220899,-0.028212
35,1.214907,-0.033026
36,1.209131,-0.037664
37,1.203565,-0.042134
38,1.198200,-0.046441
39,1.193029,-0.050592
40,1.188043,-0.054593
41,1.183238,-0.058449
42,1.178604,-0.062166
43,1.174137,-0.065748
44,1.169830,-0.069201
45,1.165677,-0.072530
46,1.161673,-0.075738
47,1.157811,-0.078830
48,1.154087,-0.081811
49,1.150495,-0.084685
50,1.147031,-0.087455
51,1.143690,-0.090124
52,1.140467,-0.092698
53,1.137358,-0.095178
54,1.134359,-0.097569
55,1.131466,-0.099873
56,1.128674,-0.102093
57,1.125980,-0.104233
58,1.123381,-0.106296
59,1.120873,-0.108283
60,1.118452,-0.110197
61,1.116116,-0.112042
62,1.113860,-0.113820
63,1.111683,-0.115532
64,1.109582,-0.117181
65,1.107552,-0.118769
66,1.105593,-0.120299
67,1.103701,-0.121772
68,1.101873,-0.123190
69,1.100108,-0.124555
70,1.098402,-0.125869
71,1.096754,-0.127133
72,1.095162,-0.128350
73,1.093623,-0.129521
74,1.092135,-0.130647
75,1.090697,-0.131730
76,1.089306,-0.132771
77,1.087960,-0.133772
78,1.086658,-0.134734
79,1.085399,-0.135658
80,1.084180,-0.136546
81,1.083000,-0.137398
82,1.081857,-0.138217
83,1.080749,-0.139002
84,1.079677,-0.139756
85,1.078637,-0.140479
86,1.077629,-0.141172
87,1.076651,-0.141836
88,1.075702,-0.142472
89,1.074781,-0.143081
90,1.073886,-0.143664
91,1.073017,-0.144221
92,1.072173,-0.144754
93,1.071352,-0.145264
94,1.070553,-0.145750
95,1.069775,-0.146214
96,1.069017,-0.146657
97,1.068279,-0.147079
98,1.067560,-0.147480
99,1.066858,-0.147862
100,1.066172,-0.148225
101,1.065503,-0.148569
102,1.064848,-0.148896
103,1.064208,-0.149206
104,1.063582,-0.149499
105,1.062968,-0.149775
106,1.062366,-0.150036
