Epoch,Weight1,Weight2,Bias
0,0.493673,-0.300689,0.119071
1,0.487213,-0.301507,0.137788
2,0.480628,-0.302451,0.156159
3,0.473923,-0.303517,0.174192
4,0.467107,-0.304703,0.191894
5,0.460184,-0.306005,0.209273
6,0.453160,-0.307422,0.226335
7,0.446042,-0.308950,0.243089
8,0.438833,-0.310587,0.259543
9,0.431540,-0.312330,0.275702
10,0.424166,-0.314176,0.291574
11,0.416716,-0.316122,0.307166
12,0.409195,-0.318166,0.322485
13,0.401606,-0.320306,0.337538
14,0.393953,-0.322539,0.352331
15,0.386240,-0.324862,0.366871
16,0.378470,-0.327273,0.381164
17,0.370647,-0.329770,0.395217
18,0.362773,-0.332351,0.409036
19,0.354852,-0.335012,0.422626
20,0.346886,-0.337752,0.435994
21,0.338878,-0.340569,0.449146
22,0.330831,-0.343460,0.462086
23,0.322748,-0.346424,0.474822
24,0.314630,-0.349457,0.487357
25,0.306480,-0.352559,0.499699
26,0.298300,-0.355727,0.511850
27,0.290092,-0.358958,0.523818
28,0.281859,-0.362252,0.535606
29,0.273602,-0.365606,0.547220
30,0.265323,-0.369018,0.558665
31,0.257024,-0.372487,0.569944
32,0.248707,-0.376010,0.581063
33,0.240373,-0.379586,0.592026
34,0.232024,-0.383212,0.602837
35,0.223662,-0.386888,0.613501
36,0.215289,-0.390612,0.624021
37,0.206904,-0.394381,0.634402
38,0.198511,-0.398195,0.644648
39,0.190111,-0.402051,0.654762
40,0.181705,-0.405948,0.664748
41,0.173293,-0.409884,0.674610
42,0.164879,-0.413859,0.684351
43,0.156462,-0.417870,0.693976
44,0.148044,-0.421916,0.703486
45,0.139626,-0.425995,0.712886
46,0.131210,-0.430106,0.722178
47,0.122796,-0.434248,0.731366
48,0.114386,-0.438420,0.740453
49,0.105980,-0.442619,0.749442
50,0.097580,-0.446845,0.758336
51,0.089187,-0.451096,0.767137
52,0.080802,-0.455372,0.775849
53,0.072425,-0.459670,0.784473
54,0.064058,-0.463990,0.793013
55,0.055701,-0.468331,0.801471
56,0.047356,-0.472690,0.809849
57,0.039023,-0.477068,0.818151
58,0.030704,-0.481464,0.826377
59,0.022398,-0.485875,0.834531
60,0.014107,-0.490301,0.842615
61,0.005831,-0.494741,0.850631
62,-0.002428,-0.499193,0.858580
63,-0.010670,-0.503658,0.866466
64,-0.018894,-0.508134,0.874289
65,-0.027100,-0.512619,0.882052
66,-0.035286,-0.517114,0.889756
67,-0.043453,-0.521617,0.897404
68,-0.051600,-0.526127,0.904997
69,-0.059725,-0.530644,0.912537
70,-0.067829,-0.535167,0.920025
71,-0.075911,-0.539694,0.927463
72,-0.083969,-0.544225,0.934852
73,-0.092005,-0.548760,0.942195
74,-0.100017,-0.553297,0.949492
75,-0.108004,-0.557837,0.956744
76,-0.115967,-0.562377,0.963954
77,-0.123904,-0.566918,0.971122
78,-0.131816,-0.571459,0.978249
79,-0.139702,-0.575999,0.985338
80,-0.147561,-0.580538,0.992388
81,-0.155393,-0.585075,0.999401
82,-0.163199,-0.589609,1.006379
83,-0.170976,-0.594141,1.013322
84,-0.178726,-0.598669,1.020231
85,-0.186447,-0.603193,1.027107
86,-0.194140,-0.607712,1.033951
87,-0.201804,-0.612227,1.040765
88,-0.209439,-0.616736,1.047548
89,-0.217045,-0.621239,1.054301
