Epoch,Weight1,Weight2,Bias
0,0.471348,-0.325107,0.071967
1,0.443136,-0.349457,0.044947
2,0.415433,-0.373014,0.018995
3,0.388295,-0.395754,-0.005850
4,0.361768,-0.417667,-0.029566
5,0.335884,-0.438753,-0.052145
6,0.310664,-0.459021,-0.073589
7,0.286118,-0.478488,-0.093914
8,0.262251,-0.497178,-0.113140
9,0.239058,-0.515118,-0.131297
10,0.216529,-0.532338,-0.148419
11,0.194651,-0.548871,-0.164544
12,0.173407,-0.564751,-0.179711
13,0.152775,-0.580011,-0.193961
14,0.132735,-0.594686,-0.207336
15,0.113265,-0.608807,-0.219876
16,0.094341,-0.622407,-0.231624
17,0.075940,-0.635517,-0.242618
18,0.058039,-0.648164,-0.252896
19,0.040616,-0.660377,-0.262495
20,0.023650,-0.672182,-0.271451
21,0.007118,-0.683603,-0.279797
22,-0.009000,-0.694663,-0.287565
23,-0.024723,-0.705383,-0.294784
24,-0.040069,-0.715784,-0.301483
25,-0.055057,-0.725884,-0.307690
26,-0.069703,-0.735700,-0.313429
27,-0.084023,-0.745249,-0.318725
28,-0.098033,-0.754547,-0.323600
29,-0.111746,-0.763607,-0.328074
30,-0.125177,-0.772442,-0.332169
31,-0.138338,-0.781065,-0.335903
32,-0.151242,-0.789488,-0.339293
33,-0.163900,-0.797721,-0.342357
34,-0.176322,-0.805774,-0.345110
35,-0.188519,-0.813657,-0.347567
36,-0.200501,-0.821378,-0.349741
37,-0.212277,-0.828946,-0.351647
38,-0.223855,-0.836368,-0.353295
39,-0.235245,-0.843651,-0.354700
40,-0.246453,-0.850803,-0.355870
41,-0.257486,-0.857830,-0.356817
42,-0.268353,-0.864737,-0.357551
43,-0.279060,-0.871531,-0.358082
44,-0.289612,-0.878216,-0.358417
45,-0.300016,-0.884797,-0.358566
46,-0.310277,-0.891280,-0.358536
47,-0.320401,-0.897668,-0.358336
48,-0.330393,-0.903966,-0.357972
49,-0.340258,-0.910178,-0.357452
50,-0.350000,-0.916307,-0.356781
51,-0.359624,-0.922357,-0.355967
52,-0.369134,-0.928332,-0.355014
53,-0.378534,-0.934233,-0.353929
54,-0.387827,-0.940065,-0.352718
55,-0.397018,-0.945830,-0.351384
56,-0.406109,-0.951531,-0.349934
57,-0.415105,-0.957171,-0.348372
58,-0.424007,-0.962751,-0.346701
59,-0.432820,-0.968274,-0.344928
60,-0.441546,-0.973743,-0.343055
61,-0.450188,-0.979158,-0.341087
62,-0.458748,-0.984524,-0.339028
63,-0.467229,-0.989840,-0.336880
64,-0.475633,-0.995110,-0.334648
65,-0.483963,-1.000334,-0.332335
66,-0.492221,-1.005515,-0.329944
67,-0.500408,-1.010653,-0.327478
68,-0.508528,-1.015751,-0.324940
69,-0.516582,-1.020810,-0.322333
70,-0.524571,-1.025831,-0.319659
71,-0.532498,-1.030816,-0.316922
