Epoch,Weight1,Weight2,Bias
0,0.518275,-0.276156,0.118855
1,0.535815,-0.252975,0.136664
2,0.552651,-0.230448,0.153462
3,0.568814,-0.208561,0.169285
4,0.584339,-0.187297,0.184172
5,0.599259,-0.166637,0.198162
6,0.613607,-0.146561,0.211297
7,0.627416,-0.127045,0.223616
8,0.640717,-0.108069,0.235159
9,0.653538,-0.089610,0.245963
10,0.665910,-0.071646,0.256067
11,0.677858,-0.054154,0.265506
12,0.689407,-0.037113,0.274313
13,0.700583,-0.020503,0.282522
14,0.711406,-0.004304,0.290162
15,0.721898,0.011503,0.297265
16,0.732079,0.026936,0.303856
17,0.741966,0.042013,0.309962
18,0.751577,0.056750,0.315609
19,0.760928,0.071163,0.320818
20,0.770032,0.085267,0.325613
21,0.778905,0.099076,0.330014
22,0.787559,0.112603,0.334040
23,0.796006,0.125860,0.337710
24,0.804257,0.138861,0.341040
25,0.812324,0.151616,0.344049
26,0.820214,0.164136,0.346750
27,0.827939,0.176430,0.349158
28,0.835505,0.188510,0.351287
29,0.842922,0.200383,0.353150
30,0.850197,0.212059,0.354759
31,0.857337,0.223545,0.356126
32,0.864348,0.234849,0.357261
33,0.871237,0.245979,0.358175
34,0.878009,0.256941,0.358878
35,0.884670,0.267742,0.359379
36,0.891225,0.278389,0.359687
37,0.897680,0.288887,0.359810
38,0.904038,0.299241,0.359755
39,0.910303,0.309458,0.359531
40,0.916481,0.319542,0.359145
41,0.922574,0.329498,0.358604
42,0.928587,0.339330,0.357913
43,0.934522,0.349044,0.357079
44,0.940384,0.358643,0.356108
45,0.946175,0.368131,0.355006
46,0.951897,0.377512,0.353777
47,0.957555,0.386790,0.352428
48,0.963150,0.395968,0.350962
49,0.968684,0.405049,0.349384
50,0.974162,0.414036,0.347700
51,0.979583,0.422933,0.345913
52,0.984951,0.431743,0.344027
53,0.990268,0.440467,0.342046
54,0.995536,0.449109,0.339974
55,1.000756,0.457671,0.337814
56,1.005930,0.466156,0.335570
57,1.011060,0.474566,0.333246
58,1.016148,0.482903,0.330843
59,1.021195,0.491170,0.328367
60,1.026202,0.499367,0.325818
61,1.031171,0.507498,0.323201
62,1.036103,0.515564,0.320517
63,1.040999,0.523567,0.317770
64,1.045862,0.531508,0.314962
65,1.050691,0.539390,0.312095
66,1.055488,0.547214,0.309172
67,1.060254,0.554981,0.306195
68,1.064990,0.562693,0.303165
69,1.069697,0.570351,0.300086
70,1.074377,0.577957,0.296960
71,1.079029,0.585512,0.293787
72,1.083654,0.593017,0.290570
73,1.088255,0.600473,0.287311
74,1.092830,0.607883,0.284012
75,1.097382,0.615246,0.280674
76,1.101911,0.622563,0.277299
77,1.106417,0.629837,0.273888
78,1.110901,0.637067,0.270443
79,1.115364,0.644256,0.266966
80,1.119807,0.651403,0.263457
81,1.124230,0.658510,0.259919
82,1.128634,0.665577,0.256352
83,1.133018,0.672606,0.252758
84,1.137385,0.679597,0.249139
85,1.141734,0.686551,0.245494
86,1.146066,0.693469,0.241827
87,1.150381,0.700352,0.238137
88,1.154679,0.707199,0.234425
89,1.158962,0.714013,0.230694
90,1.163230,0.720793,0.226943
91,1.167482,0.727541,0.223174
92,1.171720,0.734256,0.219389
93,1.175944,0.740939,0.215586
94,1.180154,0.747592,0.211769
95,1.184350,0.754215,0.207937
96,1.188533,0.760807,0.204092
97,1.192704,0.767370,0.200234
98,1.196861,0.773904,0.196364
99,1.201007,0.780410,0.192483
100,1.205141,0.786888,0.188592
101,1.209263,0.793339,0.184691
102,1.213374,0.799763,0.180781
103,1.217474,0.806160,0.176863
104,1.221563,0.812531,0.172937
105,1.225641,0.818877,0.169004
106,1.229710,0.825197,0.165065
107,1.233768,0.831492,0.161121
108,1.237816,0.837763,0.157172
109,1.241854,0.844009,0.153218
110,1.245883,0.850232,0.149260
111,1.249903,0.856431,0.145298
112,1.253914,0.862608,0.141334
113,1.257915,0.868761,0.137368
114,1.261909,0.874892,0.133400
115,1.265893,0.881000,0.129430
116,1.269869,0.887087,0.125460
117,1.273837,0.893152,0.121489
118,1.277797,0.899195,0.117518
119,1.281749,0.905218,0.113547
120,1.285694,0.911219,0.109578
121,1.289630,0.917200,0.105609
122,1.293560,0.923161,0.101642
123,1.297481,0.929102,0.097677
124,1.301396,0.935022,0.093715
125,1.305303,0.940923,0.089755
126,1.309204,0.946805,0.085798
127,1.313098,0.952667,0.081845
128,1.316984,0.958511,0.077895
129,1.320865,0.964335,0.073950
130,1.324738,0.970141,0.070008
131,1.328605,0.975929,0.066071
132,1.332466,0.981698,0.062139
133,1.336320,0.987450,0.058212
134,1.340169,0.993183,0.054291
135,1.344011,0.998899,0.050375
136,1.347847,1.004597,0.046465
137,1.351677,1.010278,0.042561
138,1.355501,1.015941,0.038663
139,1.359319,1.021588,0.034772
140,1.363132,1.027217,0.030888
141,1.366939,1.032830,0.027011
142,1.370740,1.038426,0.023141
143,1.374536,1.044006,0.019278
144,1.378326,1.049570,0.015422
145,1.382111,1.055117,0.011575
146,1.385890,1.060648,0.007735
147,1.389664,1.066163,0.003903
148,1.393433,1.071662,0.000080
149,1.397196,1.077146,-0.003736
150,1.400954,1.082614,-0.007542
151,1.404708,1.088067,-0.011340
152,1.408456,1.093504,-0.015130
153,1.412198,1.098926,-0.018910
154,1.415936,1.104333,-0.022682
155,1.419669,1.109725,-0.026444
156,1.423397,1.115102,-0.030198
157,1.427120,1.120464,-0.033942
158,1.430838,1.125811,-0.037676
159,1.434552,1.131144,-0.041401
160,1.438260,1.136462,-0.045116
161,1.441964,1.141765,-0.048822
162,1.445663,1.147055,-0.052518
163,1.449357,1.152330,-0.056204
164,1.453046,1.157591,-0.059880
165,1.456731,1.162837,-0.063546
166,1.460411,1.168070,-0.067202
167,1.464087,1.173289,-0.070848
168,1.467758,1.178494,-0.074484
169,1.471424,1.183685,-0.078109
170,1.475085,1.188863,-0.081724
171,1.478742,1.194027,-0.085329
172,1.482395,1.199177,-0.088923
173,1.486043,1.204314,-0.092507
174,1.489686,1.209437,-0.096080
175,1.493325,1.214548,-0.099643
176,1.496960,1.219645,-0.103196
177,1.500590,1.224728,-0.106737
178,1.504216,1.229799,-0.110268
179,1.507837,1.234856,-0.113789
180,1.511453,1.239901,-0.117299
181,1.515066,1.244933,-0.120798
182,1.518674,1.249951,-0.124286
183,1.522277,1.254957,-0.127764
184,1.525876,1.259951,-0.131230
185,1.529471,1.264931,-0.134686
186,1.533061,1.269899,-0.138132
187,1.536647,1.274855,-0.141566
188,1.540229,1.279797,-0.144990
189,1.543806,1.284728,-0.148403
190,1.547379,1.289646,-0.151805
191,1.550947,1.294552,-0.155197
192,1.554512,1.299445,-0.158577
193,1.558072,1.304326,-0.161947
194,1.561627,1.309195,-0.165306
195,1.565179,1.314052,-0.168654
196,1.568725,1.318897,-0.171992
197,1.572268,1.323730,-0.175319
198,1.575806,1.328551,-0.178635
199,1.579341,1.333360,-0.181940
200,1.582870,1.338157,-0.185234
201,1.586396,1.342942,-0.188518
202,1.589917,1.347716,-0.191791
203,1.593434,1.352477,-0.195054
204,1.596946,1.357227,-0.198305
205,1.600455,1.361966,-0.201547
206,1.603959,1.366693,-0.204777
207,1.607458,1.371408,-0.207997
208,1.610954,1.376112,-0.211206
209,1.614445,1.380805,-0.214405
210,1.617932,1.385486,-0.217593
211,1.621415,1.390155,-0.220771
212,1.624893,1.394814,-0.223938
213,1.628367,1.399461,-0.227095
214,1.631837,1.404097,-0.230242
215,1.635302,1.408721,-0.233378
216,1.638763,1.413335,-0.236503
217,1.642220,1.417937,-0.239619
218,1.645673,1.422529,-0.242724
219,1.649122,1.427109,-0.245818
220,1.652566,1.431679,-0.248903
221,1.656006,1.436237,-0.251977
222,1.659441,1.440785,-0.255041
223,1.662872,1.445321,-0.258095
224,1.666299,1.449847,-0.261139
225,1.669722,1.454362,-0.264173
226,1.673141,1.458867,-0.267197
227,1.676555,1.463361,-0.270211
228,1.679965,1.467844,-0.273214
229,1.683370,1.472316,-0.276208
230,1.686772,1.476778,-0.279192
231,1.690169,1.481229,-0.282166
232,1.693562,1.485670,-0.285131
233,1.696950,1.490101,-0.288085
234,1.700334,1.494520,-0.291030
235,1.703714,1.498930,-0.293965
236,1.707090,1.503329,-0.296891
237,1.710461,1.507718,-0.299807
238,1.713828,1.512097,-0.302713
239,1.717191,1.516465,-0.305609
240,1.720550,1.520823,-0.308497
241,1.723904,1.525171,-0.311374
242,1.727254,1.529509,-0.314243
243,1.730600,1.533837,-0.317102
244,1.733941,1.538154,-0.319951
245,1.737278,1.542462,-0.322791
246,1.740611,1.546759,-0.325622
247,1.743939,1.551047,-0.328444
248,1.747263,1.555325,-0.331257
249,1.750583,1.559592,-0.334060
250,1.753899,1.563850,-0.336855
251,1.757210,1.568098,-0.339640
252,1.760517,1.572337,-0.342416
253,1.763820,1.576565,-0.345184
254,1.767118,1.580784,-0.347942
255,1.770412,1.584993,-0.350692
256,1.773702,1.589193,-0.353432
