Epoch,Weight1,Weight2,Bias
0,0.493946,-0.300486,0.094525
1,0.488022,-0.300901,0.089238
2,0.482225,-0.301247,0.084135
3,0.476554,-0.301527,0.079211
4,0.471006,-0.301741,0.074460
5,0.465578,-0.301891,0.069880
6,0.460268,-0.301979,0.065464
7,0.455073,-0.302007,0.061208
8,0.449991,-0.301976,0.057108
9,0.445018,-0.301888,0.053159
10,0.440152,-0.301746,0.049357
11,0.435390,-0.301550,0.045697
12,0.430731,-0.301302,0.042174
13,0.426170,-0.301005,0.038786
14,0.421707,-0.300659,0.035527
15,0.417337,-0.300266,0.032394
16,0.413059,-0.299829,0.029382
17,0.408869,-0.299348,0.026488
18,0.404767,-0.298825,0.023707
19,0.400748,-0.298262,0.021037
20,0.396812,-0.297660,0.018473
21,0.392954,-0.297020,0.016012
22,0.389174,-0.296345,0.013650
23,0.385469,-0.295635,0.011385
24,0.381837,-0.294892,0.009212
25,0.378275,-0.294117,0.007129
26,0.374782,-0.293312,0.005132
27,0.371355,-0.292477,0.003219
28,0.367993,-0.291614,0.001387
29,0.364694,-0.290725,-0.000368
30,0.361456,-0.289810,-0.002047
31,0.358276,-0.288871,-0.003654
32,0.355154,-0.287908,-0.005192
33,0.352088,-0.286923,-0.006661
34,0.349075,-0.285916,-0.008066
35,0.346115,-0.284890,-0.009409
36,0.343205,-0.283844,-0.010691
37,0.340344,-0.282780,-0.011915
38,0.337531,-0.281699,-0.013082
39,0.334765,-0.280601,-0.014196
40,0.332043,-0.279487,-0.015258
41,0.329365,-0.278359,-0.016270
42,0.326729,-0.277217,-0.017233
43,0.324134,-0.276062,-0.018151
44,0.321579,-0.274894,-0.019023
45,0.319063,-0.273714,-0.019852
46,0.316584,-0.272524,-0.020640
47,0.314141,-0.271323,-0.021389
48,0.311734,-0.270113,-0.022098
49,0.309361,-0.268894,-0.022771
50,0.307021,-0.267666,-0.023409
51,0.304714,-0.266431,-0.024012
52,0.302438,-0.265188,-0.024582
53,0.300193,-0.263939,-0.025121
54,0.297978,-0.262684,-0.025630
55,0.295791,-0.261423,-0.026109
56,0.293632,-0.260157,-0.026560
57,0.291501,-0.258886,-0.026985
58,0.289396,-0.257611,-0.027383
59,0.287316,-0.256333,-0.027756
60,0.285262,-0.255051,-0.028106
61,0.283233,-0.253766,-0.028433
62,0.281227,-0.252479,-0.028737
63,0.279244,-0.251190,-0.029020
64,0.277283,-0.249899,-0.029283
65,0.275345,-0.248607,-0.029527
66,0.273428,-0.247313,-0.029751
67,0.271532,-0.246019,-0.029958
68,0.269656,-0.244725,-0.030148
69,0.267799,-0.243430,-0.030320
