cycle,valid_in,ready_in,input_row,valid_out,ready_out,output_spikes
0,1,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,1,0000000000000000000000000000000000000000000000000000000000000000
1,1,1,5555555555555555555555555555555555555555555555555555555555555555,0,0,0000000000000000000000000000000000000000000000000000000000000000
2,1,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,0,0000000000000000000000000000000000000000000000000000000000000000
3,1,1,5555555555555555555555555555555555555555555555555555555555555555,0,0,0000000000000000000000000000000000000000000000000000000000000000
4,1,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,0,0000000000000000000000000000000000000000000000000000000000000000
5,1,1,5555555555555555555555555555555555555555555555555555555555555555,0,1,0000000000000000000000000000000000000000000000000000000000000000
6,1,1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,1,0000000000000000000000000000000000000000000000000000000000000000
7,1,1,5555555555555555555555555555555555555555555555555555555555555555,0,0,0000000000000000000000000000000000000000000000000000000000000000
8,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,0,0000000000000000000000000000000000000000000000000000000000000000
9,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,1,0000000000000000000000000000000000000000000000000000000000000000
10,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,0,0000000000000000000000000000000000000000000000000000000000000000
11,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,1,0000000000000000000000000000000000000000000000000000000000000000
12,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,1,0000000000000000000000000000000000000000000000000000000000000000
13,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,1,0000000000000000000000000000000000000000000000000000000000000000
14,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,0,0000000000000000000000000000000000000000000000000000000000000000
15,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,1,0000000000000000000000000000000000000000000000000000000000000000
16,0,1,5555555555555555555555555555555555555555555555555555555555555555,0,1,0000000000000000000000000000000000000000000000000000000000000000
