time,valid_in,ready_in,valid_out,ready_out
5000,0,1,0,1
15000,0,1,0,1
25000,0,1,0,1
35000,1,1,0,1
45000,1,1,0,0
55000,1,1,0,1
65000,1,1,0,0
75000,1,1,0,0
85000,1,1,0,1
95000,1,1,0,1
105000,1,1,0,1
115000,1,1,0,1
125000,1,1,0,0
135000,1,1,0,1
145000,1,1,0,1
155000,1,1,0,0
165000,1,1,0,0
175000,1,1,0,1
185000,1,1,0,1
195000,1,1,0,1
205000,1,1,0,1
215000,1,1,0,1
225000,1,1,0,0
235000,1,1,0,1
245000,1,1,0,1
255000,1,1,0,1
265000,1,1,0,1
275000,1,1,0,1
285000,1,1,1,1
295000,1,1,0,0
305000,1,1,0,1
315000,1,1,0,1
325000,1,1,0,1
335000,1,1,0,0
345000,1,1,0,1
355000,1,1,0,1
365000,1,1,0,0
375000,1,1,0,1
385000,1,1,0,1
395000,1,1,0,1
405000,1,1,0,0
415000,1,1,0,1
425000,1,1,0,1
435000,1,1,0,0
445000,1,1,0,1
455000,1,1,0,1
465000,1,1,0,1
475000,1,1,0,1
485000,1,1,0,0
495000,1,1,0,1
505000,1,1,0,1
515000,1,1,0,1
525000,1,1,0,0
535000,1,1,1,1
545000,1,1,0,1
555000,1,1,0,1
565000,1,1,0,0
575000,1,1,0,1
585000,1,1,0,1
595000,1,1,0,1
605000,1,1,0,1
615000,1,1,0,1
625000,1,1,0,1
635000,1,1,0,0
645000,1,1,0,1
655000,1,1,0,1
665000,1,1,0,0
675000,1,1,0,1
685000,1,1,0,0
695000,1,1,0,0
705000,1,1,0,1
715000,1,1,0,0
725000,1,1,0,1
735000,1,1,0,1
745000,1,1,0,0
755000,1,1,0,1
765000,1,1,0,0
775000,1,1,0,0
785000,1,1,1,0
795000,1,1,0,0
805000,1,1,0,1
815000,1,1,0,1
825000,1,1,0,1
835000,1,1,0,1
845000,1,1,0,1
855000,1,1,0,0
865000,1,1,0,0
875000,1,1,0,1
885000,1,1,0,1
895000,1,1,0,0
905000,1,1,0,1
915000,1,1,0,1
925000,1,1,0,1
935000,1,1,0,0
945000,1,1,0,1
955000,1,1,0,1
965000,1,1,0,1
975000,1,1,0,1
985000,1,1,0,1
995000,1,1,0,1
1005000,1,1,0,0
1015000,1,1,0,1
1025000,1,1,0,1
1035000,1,1,1,1
1045000,1,1,0,0
1055000,1,1,0,1
1065000,1,1,0,1
1075000,1,1,0,1
1085000,1,1,0,0
1095000,1,1,0,1
1105000,1,1,0,1
1115000,1,1,0,1
1125000,1,1,0,1
1135000,1,1,0,1
1145000,1,1,0,1
1155000,1,1,0,1
1165000,1,1,0,1
1175000,1,1,0,0
1185000,1,1,0,1
1195000,1,1,0,0
1205000,1,1,0,1
1215000,1,1,0,1
1225000,1,1,0,0
1235000,1,1,0,1
1245000,1,1,0,1
1255000,1,1,0,0
1265000,1,1,0,1
1275000,1,1,0,1
1285000,1,1,1,1
1295000,1,1,0,1
1305000,1,1,0,1
1315000,0,1,0,1
1325000,0,1,0,1
1335000,0,1,0,0
1345000,0,1,0,1
1355000,0,1,0,1
1365000,0,1,0,1
1375000,0,1,0,1
1385000,0,1,0,1
1395000,0,1,0,1
1405000,0,1,0,1
1415000,0,1,0,1
1425000,0,1,0,1
1435000,0,1,0,1
1445000,0,1,0,1
1455000,0,1,0,1
1465000,0,1,0,0
1475000,0,1,0,1
1485000,0,1,0,1
1495000,0,1,0,1
1505000,0,1,0,0
1515000,0,1,0,1
1525000,0,1,0,1
1535000,0,1,1,0
1545000,0,1,0,1
1555000,0,1,0,1
1565000,0,1,0,1
1575000,0,1,0,1
1585000,0,1,0,1
1595000,0,1,0,0
1605000,0,1,0,1
1615000,0,1,0,0
1625000,0,1,0,1
1635000,0,1,0,0
1645000,0,1,0,1
1655000,0,1,0,0
1665000,0,1,0,1
1675000,0,1,0,1
1685000,0,1,0,1
1695000,0,1,0,1
1705000,0,1,0,1
1715000,0,1,0,0
1725000,0,1,0,1
1735000,0,1,0,1
1745000,0,1,0,0
1755000,0,1,0,1
1765000,0,1,0,1
1775000,0,1,0,1
1785000,0,1,1,0
1795000,0,1,0,1
1805000,0,1,0,1
1815000,0,1,0,0
1825000,0,1,0,0
1835000,0,1,0,0
1845000,0,1,0,1
1855000,0,1,0,1
1865000,0,1,0,1
1875000,0,1,0,0
1885000,0,1,0,1
1895000,0,1,0,1
1905000,0,1,0,1
1915000,0,1,0,1
1925000,0,1,0,1
1935000,0,1,0,0
1945000,0,1,0,0
1955000,0,1,0,1
1965000,0,1,0,1
1975000,0,1,0,0
1985000,0,1,0,1
1995000,0,1,0,0
2005000,0,1,0,1
2015000,0,1,0,0
2025000,0,1,0,1
2035000,0,1,1,1
2045000,0,1,0,1
2055000,0,1,0,1
2065000,0,1,0,0
2075000,0,1,0,1
2085000,0,1,0,1
2095000,0,1,0,0
2105000,0,1,0,1
2115000,0,1,0,1
2125000,0,1,0,1
2135000,0,1,0,1
2145000,0,1,0,0
2155000,0,1,0,1
2165000,0,1,0,1
2175000,0,1,0,1
2185000,0,1,0,0
2195000,0,1,0,1
2205000,0,1,0,1
2215000,0,1,0,1
2225000,0,1,0,0
2235000,0,1,0,1
2245000,0,1,0,1
2255000,0,1,0,1
2265000,0,1,0,1
2275000,0,1,0,1
2285000,0,1,1,0
2295000,0,1,0,1
2305000,0,1,0,1
2315000,0,1,0,0
2325000,0,1,0,1
2335000,0,1,0,1
2345000,0,1,0,1
2355000,0,1,0,1
2365000,0,1,0,1
2375000,0,1,0,1
2385000,0,1,0,1
2395000,0,1,0,1
2405000,0,1,0,0
2415000,0,1,0,1
2425000,0,1,0,0
2435000,0,1,0,1
2445000,0,1,0,1
2455000,0,1,0,1
2465000,0,1,0,1
2475000,0,1,0,1
2485000,0,1,0,0
2495000,0,1,0,1
2505000,0,1,0,1
2515000,0,1,0,1
2525000,0,1,0,1
2535000,0,1,1,1
2545000,0,1,0,1
2555000,0,1,0,1
2565000,0,1,0,0
2575000,0,1,0,1
2585000,0,1,0,1
2595000,0,1,0,0
2605000,0,1,0,1
2615000,0,1,0,1
2625000,0,1,0,1
