Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
0,0.112717,3.642372,0.112897,3.867986
1,0.092598,4.097697,0.096085,4.286380
2,0.096466,3.538882,0.092197,3.727545
3,0.090073,3.659094,0.092838,3.842005
4,0.092528,4.578752,0.093429,4.764709
5,0.094011,3.642953,0.091716,3.828680
6,0.091225,3.526900,0.091906,3.710031
7,0.092628,3.599158,0.227367,3.919153
8,0.139220,3.647360,0.099030,3.885610
9,0.095413,3.628986,0.091506,3.815905
10,0.092598,3.547009,0.090894,3.730501
11,0.091485,3.576405,0.093310,3.761200
12,0.170118,3.597794,0.090484,3.858396
13,0.092578,3.643454,0.094241,3.830273
14,0.093289,3.546678,0.093750,3.733717
15,0.092378,3.628164,0.223511,3.944053
16,0.126602,4.118287,0.093480,4.338369
17,0.092247,3.550766,0.092608,3.735621
18,0.092508,3.556967,0.092368,3.741843
19,0.091676,3.580262,0.193082,3.865020
20,0.121362,4.795097,0.096766,5.013225
21,0.091866,3.504607,0.092277,3.688750
22,0.091877,3.614488,0.092177,3.798542
23,0.092378,3.577507,0.092778,3.762663
24,0.091185,3.533723,0.092207,3.717115
25,0.091677,3.532730,0.092578,3.716985
26,0.091756,3.557368,0.092578,3.741702
27,0.091947,3.551186,0.095453,3.738586
28,0.243868,4.194333,0.132547,4.570748
29,0.095153,3.585903,0.182419,3.863475
30,0.108147,3.559884,0.093119,3.761150
31,0.091857,3.522020,0.166291,3.780168
32,0.191176,3.828310,0.149136,4.168622
33,0.092378,3.678883,0.118887,3.890148
34,0.092578,4.489330,0.092748,4.674656
35,0.091456,3.637362,0.091336,3.820154
36,0.090464,4.096905,0.090023,4.277392
37,0.088921,3.541969,0.089462,3.720352
38,0.088931,3.521348,0.095814,3.706093
39,0.088490,3.672123,0.105849,3.866462
40,0.092849,3.566365,0.089372,3.748586
41,0.111584,3.580042,0.089071,3.780697
42,0.088700,3.565915,0.089341,3.743956
43,0.088941,4.780610,0.145470,5.015021
44,0.094501,4.085003,0.089121,4.268625
45,0.088330,3.616742,0.092438,3.797510
46,0.092468,3.547830,0.089041,3.729339
47,0.088680,3.854490,0.092397,4.035567
48,0.088329,3.641320,0.089001,3.818650
49,0.088139,3.636781,0.085394,3.810314
50,0.087499,3.600490,0.089192,3.777181
51,0.088640,4.737518,0.105052,4.931210
52,0.094622,3.769766,0.174534,4.038922
53,0.105803,4.328161,0.125511,4.559475
54,0.089933,4.196266,0.091867,4.378066
55,0.089372,3.539183,0.092107,3.720662
56,0.091777,3.565784,0.088941,3.746502
57,0.088671,3.584750,0.088961,3.762382
58,0.088471,3.638935,0.091485,3.818891
59,0.089702,3.659885,0.093811,3.843398
60,0.088511,3.545475,0.092107,3.726093
61,0.091947,3.561566,0.088670,3.742183
62,0.088550,3.627704,0.195457,3.911711
63,0.150930,4.674725,0.092327,4.917982
