Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
0,0.131625,4.228857,0.119630,4.480112
1,0.092718,3.957699,0.173794,4.224211
2,0.096836,3.702678,0.089642,3.889156
3,0.088650,4.038683,0.166792,4.294125
4,0.138756,6.006147,0.102677,6.247580
5,0.091305,3.702568,0.192519,3.986392
6,0.139789,4.215103,0.100644,4.455536
7,0.094191,6.066583,0.131173,6.291947
8,0.132044,3.777512,0.105373,4.014929
9,0.091446,3.657812,0.094631,3.843889
10,0.089262,5.126574,0.158275,5.374111
11,0.097187,19.193878,0.100313,19.391378
12,0.095022,3.651330,0.123547,3.869899
13,0.096585,3.572328,0.093730,3.762643
14,0.094832,3.754468,0.100573,3.949873
15,0.095073,3.597095,0.092057,3.784225
16,0.092167,3.713429,0.099451,3.905047
17,0.091587,3.655367,0.103889,3.850843
18,0.092588,3.756872,0.092388,3.941848
19,0.093059,3.570785,0.095273,3.759117
20,0.094822,3.574412,0.171689,3.840923
21,0.143236,3.631161,0.147042,3.921439
22,0.098970,4.024016,0.135210,4.258196
23,0.092819,3.688641,0.108338,3.889798
24,0.091936,3.595583,0.093209,3.780728
25,0.094552,4.638636,0.353971,5.087159
26,0.236614,4.483520,0.096134,4.816268
27,0.091996,3.622865,0.091336,3.806197
28,0.091827,3.591814,0.094452,3.778093
29,0.094141,4.557250,0.167904,4.819295
30,0.097938,3.685214,0.093510,3.876662
31,0.092518,3.605591,0.091546,3.789655
32,0.092759,3.642151,0.093711,3.828621
33,0.091496,3.726784,0.134148,3.952428
34,0.136993,3.609269,0.093039,3.839301
35,0.092278,3.560715,0.086726,3.739719
36,0.088890,3.634487,0.089452,3.812829
37,0.088710,3.754267,0.115362,3.958339
38,0.089231,3.566506,0.088791,3.744528
39,0.084483,3.535767,0.087849,3.708099
40,0.087388,3.625580,0.092548,3.805516
41,0.091746,3.687238,0.119560,3.898544
42,0.100674,3.738917,0.092518,3.932109
43,0.089352,3.620390,0.089461,3.799203
44,0.088801,3.676527,0.089192,3.854520
45,0.104281,3.623996,0.168164,3.896441
46,0.201516,20.567780,0.166389,20.935685
47,0.113869,3.731313,0.092077,3.937259
48,0.095203,3.524876,0.089743,3.709822
49,0.088991,4.452560,0.092728,4.634279
50,0.089482,3.638375,0.098539,3.826396
51,0.091386,3.665216,0.101836,3.858438
52,0.089311,4.633247,0.090033,4.812591
53,0.088921,3.715101,0.092318,3.896340
54,0.091806,3.618196,0.100633,3.810635
55,0.089011,6.054790,0.090033,6.233834
56,0.088780,3.641661,0.102808,3.833249
57,0.089482,3.532411,0.092427,3.714320
58,0.102497,5.794730,0.100894,5.998121
59,0.092147,3.544785,0.090113,3.727045
60,0.088881,3.713469,0.090404,3.892754
61,0.089332,3.652843,0.099271,3.841446
62,0.094612,3.587627,0.094552,3.776791
63,0.089342,3.559252,0.089252,3.737846
64,0.088691,3.893374,0.138737,4.120802
65,0.092978,3.617024,0.089231,3.799233
66,0.088740,3.594350,0.102337,3.785427
67,0.091946,3.585784,0.088991,3.766721
68,0.088720,4.133949,0.126081,4.348750
69,0.090854,3.678923,0.092768,3.862545
70,0.092377,3.631331,0.090895,3.814603
71,0.089432,3.579692,0.089462,3.758586
72,0.088861,4.350925,0.090243,4.530029
73,0.089021,3.618085,0.089092,3.796198
74,0.088811,3.579371,0.102567,3.770749
75,0.094742,3.654165,0.089833,3.838740
76,0.088580,4.640060,1.268989,5.997629
77,0.173073,5.438094,0.095453,5.706620
78,0.091446,3.599550,0.107837,3.798833
79,0.093209,3.779826,0.096786,3.969821
80,0.092999,3.523523,0.091346,3.707868
81,0.090504,3.561206,0.091847,3.743557
82,0.091395,3.637032,0.109521,3.837948
83,0.100954,3.856854,0.111395,4.069203
84,0.090083,4.080054,0.164996,4.335133
85,0.127024,3.597145,0.087419,3.811588
86,0.087298,3.624728,0.093190,3.805216
87,0.087789,4.070534,0.105594,4.263917
88,0.092227,4.054374,0.087869,4.234470
89,0.086958,3.526268,0.079473,3.692699
90,0.088260,3.605742,0.101054,3.795056
91,0.087448,4.862217,0.088630,5.038295
92,0.087929,3.564643,0.092197,3.744769
93,0.091756,3.595252,0.089191,3.776199
94,0.088641,4.123456,0.162655,4.374752
95,0.105743,3.562978,0.090214,3.758935
96,0.089091,3.528123,0.089422,3.706636
97,0.085414,3.623226,0.093259,3.801899
98,0.098289,4.806259,0.174225,5.078773
99,0.179415,4.305277,0.092247,4.576939
100,0.089462,3.575824,0.089121,3.754407
101,0.119329,3.553251,0.089372,3.761952
102,0.088751,5.118178,0.153987,5.360916
103,0.102397,4.536902,0.098379,4.737678
104,0.089552,3.810706,0.089622,3.989880
105,0.088901,4.025128,0.131523,4.245552
106,0.151140,4.470945,0.121173,4.743258
107,0.097498,3.501461,0.089432,3.688391
108,0.088420,3.558030,0.089332,3.735782
109,0.098199,4.392904,0.117246,4.608349
110,0.091666,4.132013,0.100423,4.324102
111,0.089271,3.628476,0.097216,3.814963
112,0.094081,3.726745,0.254809,4.075635
113,0.163634,5.365475,0.121083,5.650192
114,0.102998,3.609769,0.129219,3.841986
115,0.094061,3.588619,0.089011,3.771691
116,0.088891,4.738258,0.134339,4.961488
117,0.090233,11.386310,0.090674,11.567217
118,0.088851,3.914926,0.153044,4.156821
119,0.094472,3.565184,0.092738,3.752394
120,0.091626,4.727157,0.132605,4.951388
121,0.091997,3.673311,0.089733,3.855041
122,0.088831,4.322690,0.092217,4.503738
123,0.089131,3.552970,0.090043,3.732144
124,0.088761,4.435265,0.118058,4.642084
125,0.096545,11.029474,0.138726,11.264745
126,0.092227,4.205274,0.111735,4.409236
127,0.093279,3.745282,0.166829,4.005390
128,0.135461,4.319594,0.091526,4.546581
129,0.089192,3.580813,0.092418,3.762423
130,0.088951,3.709692,0.103178,3.901821
131,0.094642,3.673532,0.096656,3.864830
132,0.088640,8.218890,0.498798,8.806328
133,0.118660,4.035396,0.109310,4.263366
134,0.112367,4.274416,0.170288,4.557071
135,0.096315,3.565475,0.092568,3.754358
136,0.088851,3.608597,0.089372,3.786820
137,0.088891,11.036617,0.090193,11.215701
138,0.089221,3.526870,0.092318,3.708409
139,0.091556,3.558351,0.091415,3.741322
140,0.088580,3.863747,0.113108,4.065435
141,0.094111,3.602356,0.091686,3.788153
142,0.104992,3.692198,0.089652,3.886842
143,0.089131,3.667871,0.093350,3.850352
144,0.092478,3.847697,0.136552,4.076727
145,0.114209,3.955284,0.145280,4.214773
146,0.129209,3.538041,0.099572,3.766822
147,0.091126,3.542219,0.091426,3.724771
148,0.091025,7.162408,0.161732,7.415165
149,0.097888,3.590612,0.089482,3.777982
150,0.088460,3.527291,0.086125,3.701876
151,0.088951,3.543011,0.091275,3.723237
152,0.088771,3.838098,0.094151,4.021020
153,0.087178,3.542911,0.090614,3.720703
154,0.089953,3.545365,0.090474,3.725792
155,10.633872,3.995711,0.089452,14.719035
156,0.089191,3.571356,0.089402,3.749949
157,15.321314,5.035370,0.106024,20.462708
158,0.091345,3.580403,0.101375,3.773123
159,0.091306,3.566556,0.094502,3.752364
160,0.091436,3.565334,0.088630,3.745400
161,0.377445,4.762355,0.143517,5.283317
162,0.091847,3.659054,0.091015,3.841916
163,0.089022,3.587817,0.089352,3.766191
164,0.088680,5.574817,4.629009,10.292506
165,0.105383,3.876021,0.129519,4.110923
166,0.093470,4.518807,0.205364,4.817641
167,0.425679,3.874498,0.103038,4.403215
168,0.091656,4.253336,0.147825,4.492817
169,0.133577,4.422251,0.113058,4.668886
170,0.092377,3.930697,0.089502,4.112576
171,0.088550,18.313708,0.116273,18.518531
172,0.118588,3.663753,0.178523,3.960864
173,0.140160,4.056388,0.103398,4.299946
174,0.093399,4.300819,0.093540,4.487758
175,0.095905,3.566045,0.088861,3.750811
176,0.088420,3.661699,0.144789,3.894908
177,0.097748,3.928602,0.117316,4.143666
178,0.116735,3.662500,0.096836,3.876071
179,0.091706,3.494408,0.088831,3.674945
180,0.088641,3.664004,0.098429,3.851074
181,0.107387,3.838359,0.118107,4.063853
182,0.104130,3.810646,0.089662,4.004438
183,0.089202,3.548060,0.091546,3.728808
184,0.091315,3.574281,0.088601,3.754197
185,0.088781,3.612815,0.105593,3.807189
186,0.102567,3.713028,0.090494,3.906089
187,0.088591,3.571245,0.089212,3.749048
188,0.088309,3.565054,0.092528,3.745891
189,0.091466,3.657431,0.100533,3.849430
190,0.088230,3.955744,0.111605,4.155579
191,0.088790,3.567548,0.087268,3.743606
192,0.088350,3.599841,0.088780,3.776971
193,0.088871,3.562719,0.090313,3.741903
194,0.088610,3.930496,0.099652,4.118758
195,0.086136,3.638464,0.086767,3.811367
196,0.085354,3.564242,0.083029,3.732625
197,0.084864,3.575894,0.086175,3.746933
198,0.085645,6.246828,0.092739,6.425212
199,0.091826,3.568230,0.092688,3.752744
200,0.092107,4.881994,0.145030,5.119131
201,0.152112,5.156314,0.179232,5.487658
202,0.102177,4.109110,0.102086,4.313373
