Iteration,Transfer_ms,Inference_ms,Total_ms
0,0.000411,3.376110,3.376521
1,0.000060,3.781198,3.781258
2,0.000070,3.591504,3.591574
3,0.000060,3.491000,3.491060
4,0.000200,3.534465,3.534665
5,0.000060,3.349479,3.349539
6,0.000050,3.440294,3.440344
7,0.000210,4.096665,4.096875
8,0.000200,3.395618,3.395818
9,0.000221,3.428370,3.428591
10,0.000060,3.546217,3.546277
11,0.000050,3.532891,3.532941
12,0.000231,3.380208,3.380439
13,0.000060,3.332546,3.332606
14,0.000060,3.317307,3.317367
15,0.000051,3.568128,3.568179
16,0.000060,3.507433,3.507493
17,0.000210,3.314341,3.314551
18,0.000060,3.386830,3.386890
19,0.000050,3.330693,3.330743
20,0.000060,3.740008,3.740068
21,0.000220,3.389767,3.389987
22,0.000060,3.307277,3.307337
23,0.000051,3.305634,3.305685
24,0.000050,3.319061,3.319111
25,0.000060,3.427278,3.427338
26,0.000251,3.296246,3.296497
27,0.000051,3.372292,3.372343
28,0.000050,3.311917,3.311967
29,0.000061,3.388082,3.388143
30,0.000050,3.582707,3.582757
31,0.000210,3.362404,3.362614
32,0.000060,3.305444,3.305504
33,0.000050,3.373625,3.373675
34,0.000060,3.328819,3.328879
35,0.000060,3.338457,3.338517
36,0.000200,3.425264,3.425464
37,0.000060,3.486161,3.486221
38,0.000061,3.295164,3.295225
39,0.000060,4.568542,4.568602
40,0.000210,3.301487,3.301697
41,0.000060,3.331294,3.331354
42,0.000050,3.325593,3.325643
43,0.000060,3.337275,3.337335
44,0.000221,3.389716,3.389937
45,0.000060,3.274405,3.274465
46,0.000060,3.776961,3.777021
47,0.000101,6.030171,6.030272
48,0.000100,5.937383,5.937483
49,0.000100,5.994984,5.995084
50,0.000100,6.025914,6.026014
51,0.000260,6.407810,6.408070
52,0.000111,6.315731,6.315842
53,0.000100,6.351969,6.352069
54,0.000110,6.111329,6.111439
55,0.000261,6.926545,6.926806
56,0.000090,6.402117,6.402207
57,0.000110,7.039452,7.039562
58,0.000100,5.992820,5.992920
59,0.000100,6.485737,6.485837
60,0.000251,6.123882,6.124133
61,0.000100,6.180481,6.180581
62,0.000121,6.331521,6.331642
63,0.000261,6.022096,6.022357
64,0.000101,7.067747,7.067848
65,0.000130,5.586679,5.586809
66,0.000060,3.457947,3.458007
67,0.000060,3.321465,3.321525
68,0.000060,3.692419,3.692479
69,0.000060,3.375318,3.375378
70,0.000060,3.295175,3.295235
71,0.000050,3.302739,3.302789
72,0.000060,3.459450,3.459510
73,0.000060,4.697100,4.697160
74,0.000200,3.326395,3.326595
75,0.000060,3.366252,3.366312
76,0.000060,3.310194,3.310254
77,0.000050,4.496444,4.496494
78,0.000210,3.309963,3.310173
79,0.000060,3.421758,3.421818
80,0.000060,3.458389,3.458449
81,0.000061,3.644606,3.644667
82,0.000211,3.484338,3.484549
83,0.000060,3.374406,3.374466
84,0.000050,3.332907,3.332957
85,0.000061,3.325412,3.325473
86,0.000050,3.759126,3.759176
87,0.000201,3.383604,3.383805
88,0.000060,3.356051,3.356111
89,0.000061,3.384476,3.384537
90,0.000050,5.211316,5.211366
91,0.000120,3.812960,3.813080
92,0.000060,3.314342,3.314402
93,0.000051,3.270276,3.270327
94,0.000050,4.217969,4.218019
95,0.000211,3.443930,3.444141
96,0.000070,3.508154,3.508224
97,0.000060,3.331214,3.331274
98,0.000060,3.306556,3.306616
99,0.000070,3.449160,3.449230
100,0.000050,3.505148,3.505198
101,0.000070,3.425776,3.425846
102,0.000210,3.309773,3.309983
103,0.000060,3.400286,3.400346
104,0.000050,3.359638,3.359688
105,0.000050,3.505409,3.505459
106,0.000070,3.453769,3.453839
107,0.000061,3.285375,3.285436
108,0.000060,3.504416,3.504476
109,0.000211,3.359147,3.359358
110,0.000061,3.599218,3.599279
111,0.000060,3.321796,3.321856
112,0.000050,4.163013,4.163063
113,0.000140,4.350854,4.350994
114,0.000220,3.715142,3.715362
115,0.000060,3.694933,3.694993
116,0.000220,3.742634,3.742854
117,0.000230,3.686176,3.686406
118,0.000070,3.749808,3.749878
119,0.000080,3.602706,3.602786
120,0.000050,3.376112,3.376162
121,0.000060,3.482414,3.482474
122,0.000060,3.404455,3.404515
123,0.000060,3.511951,3.512011
124,0.000050,3.408322,3.408372
125,0.000060,3.546546,3.546606
126,0.000070,3.395818,3.395888
127,0.000050,3.352996,3.353046
128,0.000050,3.360850,3.360900
129,0.000060,3.361682,3.361742
130,0.000061,4.364348,4.364409
131,0.000201,3.379386,3.379587
132,0.000070,3.423080,3.423150
133,0.000050,3.634487,3.634537
134,0.000070,3.750440,3.750510
135,0.000060,3.288792,3.288852
136,0.000140,3.330983,3.331123
137,0.000050,3.333488,3.333538
138,0.000130,4.273215,4.273345
139,0.000060,3.363857,3.363917
140,0.000060,3.310314,3.310374
141,0.000050,3.403773,3.403823
142,0.000060,3.395276,3.395336
143,0.000070,4.711748,4.711818
144,0.000051,3.284844,3.284895
145,0.000050,3.367594,3.367644
146,0.000050,3.298612,3.298662
147,0.000050,4.248349,4.248399
148,0.000060,3.332326,3.332386
149,0.000061,3.407931,3.407992
150,0.000050,3.378514,3.378564
151,0.000061,4.002943,4.003004
152,0.000150,4.668785,4.668935
153,0.000060,3.394706,3.394766
154,0.000060,3.304903,3.304963
155,0.000050,3.276408,3.276458
156,0.000251,3.584100,3.584351
157,0.000060,3.487174,3.487234
158,0.000050,3.292148,3.292198
159,0.000050,3.339289,3.339339
160,0.000050,3.726393,3.726443
161,0.000060,3.668562,3.668622
162,0.000050,3.313730,3.313780
163,0.000060,3.322958,3.323018
164,0.000050,3.309492,3.309542
165,0.000060,4.862730,4.862790
166,0.000060,3.448058,3.448118
167,0.000060,3.372503,3.372563
168,0.000050,3.341604,3.341654
169,0.000060,5.013737,5.013797
170,0.000210,3.635519,3.635729
171,0.000050,3.272140,3.272190
172,0.000050,3.356191,3.356241
173,0.000060,3.396389,3.396449
174,0.000280,3.388855,3.389135
175,0.000060,3.675585,3.675645
176,0.000060,3.315874,3.315934
177,0.000050,3.365830,3.365880
178,0.000060,3.350921,3.350981
179,0.000060,3.370399,3.370459
180,0.000060,3.619027,3.619087
181,0.000060,3.329891,3.329951
182,0.000050,3.382232,3.382282
183,0.000210,3.403924,3.404134
184,0.000051,3.439992,3.440043
185,0.000071,3.588918,3.588989
186,0.000050,3.317327,3.317377
187,0.000060,3.371311,3.371371
188,0.000050,3.290155,3.290205
189,0.000060,3.420946,3.421006
190,0.000060,3.628535,3.628595
191,0.000050,3.585182,3.585232
192,0.000211,3.271459,3.271670
193,0.000051,3.357594,3.357645
194,0.000060,3.526980,3.527040
195,0.000201,3.477044,3.477245
196,0.000050,3.477035,3.477085
197,0.000060,3.298632,3.298692
198,0.000060,3.291117,3.291177
199,0.000060,3.624978,3.625038
200,0.000211,5.407616,5.407827
201,0.000050,3.390417,3.390467
202,0.000060,3.315584,3.315644
203,0.000050,3.542631,3.542681
204,0.000191,3.678760,3.678951
205,0.000060,3.324841,3.324901
206,0.000050,3.307598,3.307648
207,0.000060,3.373245,3.373305
208,0.000050,3.413111,3.413161
209,0.000220,3.508986,3.509206
210,0.000211,3.354017,3.354228
211,0.000060,3.331194,3.331254
212,0.000060,3.309421,3.309481
213,0.000050,3.378114,3.378164
214,0.000210,3.453068,3.453278
215,0.000201,3.297319,3.297520
216,0.000050,3.375218,3.375268
217,0.000060,3.344450,3.344510
218,0.000060,5.144922,5.144982
219,0.000281,3.693390,3.693671
220,0.000081,3.771239,3.771320
221,0.000071,8.034123,8.034194
222,0.000070,3.854009,3.854079
223,0.000060,3.303200,3.303260
224,0.000060,3.389767,3.389827
225,0.000050,3.614157,3.614207
226,0.000060,3.374597,3.374657
227,0.000060,3.274054,3.274114
228,0.000060,3.405066,3.405126
229,0.000220,3.348958,3.349178
230,0.000050,3.869478,3.869528
231,0.000070,3.841184,3.841254
232,0.000201,3.397351,3.397552
233,0.000050,3.289874,3.289924
234,0.000061,3.388804,3.388865
235,0.000211,3.312217,3.312428
236,0.000060,3.325473,3.325533
237,0.000050,3.355671,3.355721
238,0.000050,3.297088,3.297138
239,0.000060,3.374738,3.374798
240,0.000201,3.374838,3.375039
241,0.000230,3.283212,3.283442
242,0.000050,3.417961,3.418011
243,0.000060,3.341594,3.341654
244,0.000050,3.887523,3.887573
245,0.000211,3.360810,3.361021
246,0.000460,3.301928,3.302388
247,0.000050,3.333478,3.333528
248,0.000061,3.431055,3.431116
249,0.000060,3.313399,3.313459
250,0.000060,3.359137,3.359197
251,0.000060,3.347906,3.347966
252,0.000060,3.297970,3.298030
253,0.000061,3.361912,3.361973
254,0.000061,3.368535,3.368596
255,0.000050,3.316124,3.316174
256,0.000050,3.278312,3.278362
257,0.000050,3.329711,3.329761
258,0.000060,3.455854,3.455914
259,0.000220,3.382403,3.382623
260,0.000050,3.330131,3.330181
261,0.000060,3.310163,3.310223
262,0.000050,3.306997,3.307047
263,0.000130,3.325172,3.325302
264,0.000061,3.327677,3.327738
265,0.000060,3.276960,3.277020
266,0.000060,3.349549,3.349609
267,0.000050,3.344289,3.344339
268,0.000050,3.366251,3.366301
269,0.000050,3.357465,3.357515
270,0.000060,3.297419,3.297479
271,0.000050,3.281057,3.281107
272,0.000050,3.487494,3.487544
273,0.000070,3.950515,3.950585
274,0.000090,3.467215,3.467305
275,0.000060,3.379877,3.379937
276,0.000060,3.309652,3.309712
277,0.000060,3.611612,3.611672
278,0.000211,3.382702,3.382913
279,0.000060,3.308440,3.308500
280,0.000060,3.278182,3.278242
281,0.000060,3.500810,3.500870
282,0.000200,3.340141,3.340341
283,0.000251,3.297799,3.298050
284,0.000060,3.407090,3.407150
285,0.000200,3.309783,3.309983
286,0.000060,3.454110,3.454170
287,0.000060,3.350260,3.350320
288,0.000060,3.292269,3.292329
289,0.000060,3.288021,3.288081
290,0.000051,3.355209,3.355260
291,0.000050,3.349850,3.349900
292,0.000051,3.273893,3.273944
293,0.000050,3.341083,3.341133
294,0.000050,3.311826,3.311876
295,0.000060,4.477369,4.477429
296,0.000210,3.407621,3.407831
297,0.000060,3.312407,3.312467
298,0.000060,3.392872,3.392932
299,0.000060,3.852245,3.852305
300,0.000060,3.376721,3.376781
301,0.000050,3.387742,3.387792
302,0.000060,3.316405,3.316465
303,0.000050,4.148292,4.148342
304,0.000250,4.171269,4.171519
305,0.000060,3.297439,3.297499
306,0.000060,3.270968,3.271028
307,0.000050,3.339459,3.339509
308,0.000050,3.485580,3.485630
309,0.000070,3.482134,3.482204
310,0.000060,3.345451,3.345511
311,0.000050,3.308871,3.308921
312,0.000060,3.397050,3.397110
313,0.000201,3.623756,3.623957
314,0.000070,3.421687,3.421757
315,0.000060,3.295254,3.295314
316,0.000060,3.341634,3.341694
317,0.000060,3.532952,3.533012
318,0.000301,3.626631,3.626932
319,0.000070,3.360050,3.360120
320,0.000121,3.405687,3.405808
321,0.000060,3.520397,3.520457
322,0.000070,3.342025,3.342095
323,0.000060,3.658834,3.658894
324,0.000061,3.371501,3.371562
325,0.000050,3.328659,3.328709
326,0.000060,3.647762,3.647822
327,0.000210,3.409615,3.409825
328,0.000070,3.552028,3.552098
329,0.000050,3.421728,3.421778
330,0.000060,4.400982,4.401042
331,0.000260,3.954642,3.954902
332,0.000060,3.560054,3.560114
333,0.000060,3.377663,3.377723
334,0.000061,3.310123,3.310184
335,0.000060,4.061907,4.061967
336,0.000060,3.374688,3.374748
337,0.000060,3.355140,3.355200
338,0.000060,3.390367,3.390427
339,0.000050,3.631662,3.631712
340,0.000210,3.953420,3.953630
341,0.000080,5.326898,5.326978
342,0.000070,3.306125,3.306195
343,0.000060,3.629637,3.629697
344,0.000060,3.291598,3.291658
345,0.000050,3.403242,3.403292
346,0.000050,3.704311,3.704361
347,0.000060,3.990060,3.990120
348,0.000330,3.500228,3.500558
349,0.000210,3.322156,3.322366
350,0.000050,3.478667,3.478717
351,0.000060,3.469409,3.469469
352,0.000060,3.555876,3.555936
353,0.000210,3.385819,3.386029
354,0.000060,3.284443,3.284503
355,0.000050,3.564382,3.564432
356,0.000070,4.283326,4.283396
357,0.000120,3.752774,3.752894
358,0.000060,3.324280,3.324340
359,0.000060,3.495640,3.495700
360,0.000050,3.541337,3.541387
361,0.000060,3.441476,3.441536
362,0.000060,3.458569,3.458629
363,0.000060,3.391821,3.391881
364,0.000051,3.482715,3.482766
365,0.000210,3.589310,3.589520
366,0.000220,3.380669,3.380889
367,0.000060,3.328248,3.328308
368,0.000060,3.320664,3.320724
369,0.000060,3.771900,3.771960
370,0.000060,3.526580,3.526640
371,0.000210,3.320573,3.320783
372,0.000060,3.359458,3.359518
373,0.000060,3.325162,3.325222
374,0.000061,3.484197,3.484258
375,0.000060,3.421257,3.421317
376,0.000070,3.312247,3.312317
377,0.000070,3.347525,3.347595
378,0.000060,3.835302,3.835362
379,0.000060,4.724762,4.724822
380,0.000211,3.353897,3.354108
381,0.000060,3.271349,3.271409
382,0.000060,3.317798,3.317858
