Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
0,0.089613,4.520650,0.120552,4.730815
1,0.088390,3.636311,0.092728,3.817429
2,0.091836,4.011552,0.134919,4.238307
3,0.093029,4.253447,0.101164,4.447640
4,0.090995,5.254489,0.111897,5.457381
5,0.091727,4.056007,0.279237,4.426971
6,0.109510,3.573099,0.412000,4.094609
7,0.147093,4.048163,0.093520,4.288776
8,0.093450,3.701575,0.092408,3.887433
9,0.109730,3.636842,0.091325,3.837897
10,0.091917,3.761791,0.097277,3.950985
11,0.094472,3.744657,0.141111,3.980240
12,0.132835,3.763657,0.162320,4.058812
13,0.231896,3.730743,0.093830,4.056469
14,0.094071,3.757273,0.098539,3.949883
15,0.093450,4.180206,0.092267,4.365923
16,0.092258,3.592235,0.092057,3.776550
17,0.090253,3.591554,0.090795,3.772602
18,0.091336,3.686677,0.094521,3.872534
19,0.088971,3.915627,0.108479,4.113077
20,0.089773,3.571035,0.092608,3.753416
21,0.092037,3.554253,0.089712,3.736002
22,0.093109,3.727636,0.088420,3.909165
23,0.088490,3.740751,0.106164,3.935405
24,0.089151,3.568510,0.089682,3.747343
25,0.088961,3.520607,0.092288,3.701856
26,0.091676,3.555625,0.089021,3.736322
27,0.088750,3.900839,0.129569,4.119158
28,0.095193,4.016000,0.145660,4.256853
29,0.110212,3.710382,0.090665,3.911259
30,0.089292,3.567488,0.089722,3.746502
31,0.105423,3.834852,0.127685,4.067960
32,0.090433,3.897082,0.095614,4.083129
33,0.092077,3.560073,0.088921,3.741071
34,0.088551,3.650858,0.089081,3.828490
35,0.089281,3.806227,0.101846,3.997354
36,0.095584,3.542590,0.089522,3.727696
37,0.088530,3.614067,0.088731,3.791328
38,0.092097,3.578800,0.155679,3.826576
39,0.091637,3.859579,0.109841,4.061057
40,0.089723,3.557088,0.091185,3.737996
41,0.089001,3.595041,0.105953,3.789995
42,0.088660,3.597806,0.089352,3.775818
43,0.088941,3.672970,0.098219,3.860130
44,0.092057,3.728417,0.096205,3.916679
45,0.093149,3.572658,0.088851,3.754658
46,0.089302,3.654846,0.107116,3.851264
47,0.088600,3.593238,0.160045,3.841883
