-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                 Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::addmm        46.04%     327.693ms        51.06%     363.416ms       2.053ms           177  
    aten::_scaled_dot_product_flash_attention_for_cpu        18.16%     129.234ms        18.29%     130.163ms       8.678ms            15  
                                          aten::copy_         6.68%      47.522ms         6.68%      47.522ms     147.584us           322  
                                      model_inference         4.18%      29.718ms       100.00%     711.777ms     711.777ms             1  
                                      aten::clamp_min         3.08%      21.928ms         3.08%      21.928ms     685.250us            32  
                             aten::mkldnn_convolution         2.89%      20.564ms         2.90%      20.650ms       2.294ms             9  
                                           aten::gelu         2.53%      17.985ms         2.53%      17.985ms       1.499ms            12  
                              aten::native_layer_norm         2.25%      15.997ms         2.32%      16.519ms     305.907us            54  
                                             aten::mm         2.00%      14.205ms         2.00%      14.205ms       1.578ms             9  
                                aten::grid_sampler_2d         1.95%      13.899ms         1.96%      13.931ms       4.644ms             3  
-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 711.777ms
