-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                 Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::addmm        46.04%     327.693ms        51.06%     363.416ms       2.053ms           177  
    aten::_scaled_dot_product_flash_attention_for_cpu        18.16%     129.234ms        18.29%     130.163ms       8.678ms            15  
                                          aten::copy_         6.68%      47.522ms         6.68%      47.522ms     147.584us           322  
                                      model_inference         4.18%      29.718ms       100.00%     711.777ms     711.777ms             1  
                                      aten::clamp_min         3.08%      21.928ms         3.08%      21.928ms     685.250us            32  
                             aten::mkldnn_convolution         2.89%      20.564ms         2.90%      20.650ms       2.294ms             9  
                                           aten::gelu         2.53%      17.985ms         2.53%      17.985ms       1.499ms            12  
                              aten::native_layer_norm         2.25%      15.997ms         2.32%      16.519ms     305.907us            54  
                                             aten::mm         2.00%      14.205ms         2.00%      14.205ms       1.578ms             9  
                                aten::grid_sampler_2d         1.95%      13.899ms         1.96%      13.931ms       4.644ms             3  
                                            aten::cat         1.91%      13.606ms         1.94%      13.838ms     230.633us            60  
                                            aten::add         1.82%      12.989ms         1.84%      13.068ms     161.333us            81  
                                            aten::mul         1.62%      11.517ms         1.65%      11.729ms     120.918us            97  
                                            aten::sum         0.72%       5.157ms         1.15%       8.165ms     291.607us            28  
                                          aten::fill_         0.46%       3.246ms         0.46%       3.258ms      95.824us            34  
                                         aten::linear         0.41%       2.947ms        54.49%     387.877ms       2.085ms           186  
                                           aten::view         0.23%       1.602ms         0.23%       1.602ms       2.757us           581  
                                          aten::empty         0.22%       1.548ms         0.22%       1.548ms       4.677us           331  
                                       aten::_softmax         0.22%       1.533ms         0.22%       1.533ms     511.000us             3  
                                         aten::gather         0.20%       1.425ms         0.20%       1.425ms      54.808us            26  
-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 711.777ms
